equation,term,current_estimate,std_error,baseline_estimate,baseline_equation_name,abs_change,pct_change,sign_change
Lavh,c2,-17.844509210415726,3.7449035394753896,-19.52783466263541,Lavh,1.6833254522196839,-8.620133677394149,FALSE
Rtwi,c4,-5.4145182422678,2.8061187836132313,-5.1141992151464235,Rtwi,-0.30031902712137626,5.872259067107488,FALSE
Rtwi,c5,-0.07313199992988934,0.07678881805313549,0.05552889214429166,Rtwi,-0.128660892074181,-231.70080854459704,TRUE
Lavh,c1,453.2031752780104,0.7665015780150883,453.3068024468165,Lavh,-0.10362716880609923,-0.022860272170355245,FALSE
Rtwi,c3,-0.4907318771198402,0.08061881175699999,-0.5823046699450214,Rtwi,0.09157279282518122,-15.725924511961598,FALSE
Rtwi,c1,-0.4654365072029248,0.1498549768332055,-0.5500973373101268,Rtwi,0.08466083010720199,-15.39015449905241,FALSE
Rtwi,c7,-0.4749893010407411,0.8143059973289867,-0.5532362598064526,Rtwi,0.07824695876571153,-14.14349789601388,FALSE
PconsExrent,c1,-0.23717586887210337,0.05783621301718687,-0.2764772366883475,PconsExrent,0.03930136781624413,-14.215046521369024,FALSE
Xmin,c4,2.538870537655422,1.0247261995162185,2.5093129894662183,Xmin,0.029557548189203864,1.1779139674198857,FALSE
Xmin,c9,0.7362719905809375,0.796837673594143,0.7138595382186941,Xmin,0.02241245236224343,3.13961657193369,FALSE
Rtwi,c6,0.1346002547011007,0.09579546216539962,0.15507916319589712,Rtwi,-0.020478908494796416,-13.20545460316117,FALSE
Whh,c2,0.5071449632173958,0.05120491611053095,0.527546184004088,Whh,-0.020401220786692265,-3.8671914242363603,FALSE
Rtwi,c2,-0.14179061651407868,0.0428594154730172,-0.16213456140839766,Rtwi,0.020343944894318983,-12.547568339285176,FALSE
Piret,c1,-1.541597217421104,0.02920566987749637,-1.5611583882916895,Piret,0.01956117087058562,-1.2529907930732498,FALSE
Pidwell,c3,0.6526508994021408,0.1544248062950354,0.6339410595797746,Pidwell,0.01870983982236618,2.95135321172737,FALSE
LempNonmkt,c1,-2.092378223769035,0.22890131513176437,-2.110494160208136,LempNonmkt,0.018115936439101255,-0.8583741561888347,FALSE
Lwge,c4,0.706032017220122,0.24174296179423327,0.7236892412394682,Lwge,-0.017657224019346218,-2.439890358063712,FALSE
Pxagr,c6,-0.06577894253153144,0.01520739694036114,-0.08178154591187003,Pxagr,0.016002603380338598,-19.567499246814712,FALSE
PconsExrent,c2,-0.0705183409616178,0.01697696871214297,-0.08174570591222621,PconsExrent,0.011227364950608415,-13.734501189167913,FALSE
Xmin,c7,1.05819265290749,0.8246548904639325,1.0691550918000423,Xmin,-0.010962438892552218,-1.0253366398036534,FALSE
Lwge,c5,-0.963113432804578,0.26154811712594955,-0.9740183784044564,Lwge,0.010904945599878424,-1.1195831456221494,FALSE
Xmin,c5,-2.3401520381113725,1.3594823553383917,-2.3499678399730937,Xmin,0.009815801861721152,-0.41769941250913156,FALSE
Lavh,rho,0.6549031842007852,0.06193106700870411,0.6643109522560461,Lavh,-0.00940776805526089,-1.4161693440867484,FALSE
Pmgs,c3,0.7046057465233252,0.1735648635369967,0.7126462711296645,Pmgs,-0.008040524606339305,-1.12826305729401,FALSE
Lwge,c2,0.2064305295835187,0.18768942392099788,0.2142188580741643,Lwge,-0.007788328490645591,-3.635687614369232,FALSE
Lavh,c4,-0.3643691319993114,0.01449334187216825,-0.37170164879589374,Lavh,0.007332516796582311,-1.9726888003686827,FALSE
Lavh,c3,-1.0099347341284286,0.07631515654166363,-1.0033572710024288,Lavh,-0.006577463125999827,0.6555454688067952,FALSE
PconsExrent,c5,0.04952506228975968,0.02353688223724979,0.05567355853636358,PconsExrent,-0.006148496246603893,-11.043835544638236,FALSE
Pidwell,c1,-0.12362592872202768,0.07058476696309597,-0.11768737410009068,Pidwell,-0.0059385546219370006,5.04604225164067,FALSE
LempNonmkt,c2,0.461842873391066,0.06472238307315752,0.4671359436435559,LempNonmkt,-0.005293070252489873,-1.133089911944074,FALSE
Xmin,c8,-1.9169516847613968,1.0945462420965413,-1.9120924048512056,Xmin,-0.004859279910191194,0.25413415679402807,FALSE
Pmgs,c5,0.5495297630015719,0.03705853120254954,0.5535598622265254,Pmgs,-0.004030099224953565,-0.7280331360629555,FALSE
Rmort,c1,-0.0917347880650243,0.02435188012481955,-0.09567817123375574,Rmort,0.00394338316873144,-4.121507672943681,FALSE
Pxagr,c2,-0.05637427102091064,0.0181178096125173,-0.05991413057854424,Pxagr,0.0035398595576336053,-5.908221522121626,FALSE
Inonmin,c1,-0.4196970003857452,0.2241134007885816,-0.4225643040299704,Inonmin,0.0028673036442252164,-0.6785484757893423,FALSE
LempNonmkt,c4,0.49740421703916565,0.04049548428681001,0.49487348028500217,LempNonmkt,0.0025307367541634873,0.5113906594279349,FALSE
PconsExrent,c4,-0.00846910664099427,0.00479590363863229,-0.00600274216341343,PconsExrent,-0.0024663644775808407,41.08729661275932,FALSE
PconsExrent,c3,0.7478394457171935,0.02341169771050869,0.7502914341218706,PconsExrent,-0.0024519884046770857,-0.32680479786455496,FALSE
Pxagr,c3,0.3071174391309051,0.03817535410555751,0.3093009884595263,Pxagr,-0.0021835493286211927,-0.7059626092681959,FALSE
Inonmin,c8,0.33245766408106053,0.2568354859765903,0.33428533027535584,Inonmin,-0.0018276661942953076,-0.5467383784953483,FALSE
Inonmin,c7,0.4638363887063264,0.252247026623387,0.4620217150718528,Inonmin,0.0018146736344735737,0.3927680399592015,FALSE
Rmort,c5,0.22378090760126013,0.03327029085998691,0.22226057238339883,Rmort,0.001520335217861296,0.6840328005808916,FALSE
Whh,c4,-0.04320552898353153,0.01817336755631794,-0.0417810880532285,Whh,-0.001424440930303028,3.409295919934663,FALSE
